Education,Marital_Status,Income,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp5,AcceptedCmp1,Age,is_parent,total_spend
Graduation,Single,58138.0,3,8,10,4,7,False,False,64,False,1617
Graduation,Single,46344.0,2,1,1,2,5,False,False,67,True,27
Graduation,Together,71613.0,1,8,2,10,4,False,False,56,False,776
Graduation,Together,26646.0,2,2,0,4,6,False,False,37,False,53
Postgraduate,Married,58293.0,5,5,3,6,5,False,False,40,False,422
Postgraduate,Together,62513.0,2,6,4,10,6,False,False,54,False,716
Graduation,Divorced,55635.0,4,7,3,7,6,False,False,50,False,590
Postgraduate,Married,33454.0,2,4,0,4,8,False,False,36,False,169
Postgraduate,Together,30351.0,1,3,0,2,9,False,False,47,False,46
Postgraduate,Together,5648.0,1,1,0,0,20,False,False,71,True,49
Basic,Married,7500.0,1,2,0,3,8,False,False,45,False,61
Graduation,Divorced,63033.0,1,3,4,8,2,False,False,62,False,1102
Postgraduate,Divorced,59354.0,3,6,1,5,6,False,False,69,True,310
Graduation,Married,17323.0,1,1,0,3,8,False,False,34,False,46
Postgraduate,Single,82800.0,1,7,6,12,3,True,True,75,False,1315
Graduation,Married,41850.0,3,3,0,3,8,False,False,41,True,96
Graduation,Together,37760.0,2,4,1,6,7,False,False,75,False,317
Postgraduate,Married,76995.0,2,11,4,9,5,False,True,72,False,1782
Postgraduate,Single,33812.0,2,2,1,3,6,False,False,36,False,133
Graduation,Married,37040.0,1,4,2,5,8,False,False,39,False,316
Graduation,Married,2447.0,15,0,28,0,1,False,False,42,False,1730
Postgraduate,Married,58607.0,3,2,3,9,8,False,False,72,False,972
Postgraduate,Married,65324.0,3,6,2,9,4,False,False,67,False,544
Graduation,Together,40689.0,7,7,1,5,8,False,False,70,False,444
Graduation,Single,18589.0,2,2,1,3,7,False,False,52,False,75
Graduation,Married,53359.0,4,5,1,4,7,False,False,45,True,257
Graduation,Married,38360.0,2,2,1,4,3,False,False,32,False,131
Postgraduate,Married,84618.0,1,6,9,10,2,True,False,56,False,1672
Postgraduate,Divorced,10979.0,2,3,0,3,5,False,False,32,False,30
Postgraduate,Together,38620.0,1,2,5,3,3,False,False,58,False,318
Graduation,Together,40548.0,2,2,1,4,5,False,False,51,False,120
Postgraduate,Divorced,46610.0,6,4,1,6,6,False,False,69,True,302
Postgraduate,Married,68657.0,1,3,5,9,7,False,False,75,False,1196
Postgraduate,Single,49389.0,1,2,0,3,7,False,False,70,True,65
Postgraduate,Married,67353.0,5,5,6,12,2,False,False,51,False,913
Postgraduate,Married,23718.0,3,3,1,2,7,False,False,45,False,81
